word,length
housuntasku,11
housupari,9
housupuku,9
housurooli,10
housut,6
housuvaippa,11
hovi,4
hovioikeudenneuvos,18
hovitavat,9
hugenotti,9
huhkia,6
huhmar,6
huhmare,7
huhta,5
huhtikuinen,11
huhtikuu,8
huhtoa,6
huhu,4
huhuilla,8
huhuilu,7
huhuta,6
huidella,8
huijari,7
huijata,7
huijaus,7
huikaista,9
huikaistua,10
huikata,7
huikea,6
huikennella,11
huikenteleva,12
huikentelevainen,16
huikentelevaisuus,17
huikentelevuus,14
huikentelu,10
huikka,6
huikkaus,8
huikkeilla,10
huikkeille,10
huikkeilta,10
huikoa,6
huikopala,9
huilata,7
huili,5
huilia,6
huilisti,8
huilu,5
huilunsoittaja,14
huima,5
huimaava,8
huimaavuus,10
huimata,7
huimaus,7
huimeta,7
huimia,6
huipata,7
huipennus,9
huipentaa,9
huipentua,9
huipentuma,10
huipeta,7
huipistaa,9
huipistua,9
huippu,6
huiputtaa,9
huiputtaa,9
huiputus,8
huiputus,8
huisi,5
huiska,6
huiskaa,7
huiskahtaa,10
huiskaista,10
huiskale,8
huiskaus,8
huiskauttaa,11
huiske,6
huiskea,7
huiskia,7
huiskilo,8
huiskina,8
huiskinta,9
huisku,6
huiskuttaa,10
huiskutus,9
huitaista,9
huitaisu,8
huithapeli,10
huitoa,6
huitukka,8
huivi,5
hujahdus,8
hujahtaa,8
hujakoilla,10
hujakoille,10
hujaus,6
hujauttaa,9
hujellus,8
hujeltaa,8
hujoppi,7
hukata,6
huki,4
hukka,5
hukkaantua,10
hukkautua,9
hukkua,6
hukkumiskuolema,15
hukkumisonnettomuus,19
hukuttaa,8
hukuttautua,11
hula,4
hulabaloo,9
hulahtaa,8
hulauttaa,9
hulevesi,8
huligaani,9
huliganismi,11
hulina,6
hulinoida,9
hulinointi,10
hulinoitsija,12
hulivili,8
huljahtaa,9
huljauttaa,10
huljua,6
huljutella,10
huljuttaa,9
huljuttelu,10
huljutus,8
hullaannuttaa,13
hullaantua,10
hullu,5
hullujenhuone,13
hullunkurinen,13
hullunkurisuus,14
hullunmylly,11
hullunrohkea,12
hullutella,10
hulluttelu,10
hullutus,8
hulluus,7
hulmahdella,11
hulmahdus,9
hulmahtaa,9
hulmahtelu,10
hulmauttaa,10
hulmuta,7
hulpilo,7
hulpio,6
hulppea,7
hulttio,7
hulvahdus,9
hulvahtaa,9
hulvaton,8
humaani,7
humaaninen,10
humaanistaa,11
humaanistua,11
humaanisuus,11
humaanius,9
humahdella,10
humahdus,8
humahtaa,8
humala,6
humalahakuinen,14
humalainen,10
humalanvieras,13
humalikas,9
humalikko,9
humalisto,9
humalluttaa,11
humaltua,8
humanismi,9
humanisoida,11
humanisoitua,12
humanisti,9
humanistinen,12
humanitaarinen,14
humanoidi,9
humaus,6
humauttaa,9
humidori,8
humina,6
huminoida,9
humista,7
humma,5
hummailla,9
hummailu,8
hummata,7
hummaus,7
hummeri,7
hummus,6
humoreski,9
humoristi,9
humoristinen,12
humoristisuus,13
humpata,7
humppa,6
humppakahvat,12
humpsahtaa,10
humputella,10
humputtelu,10
humpuuki,8
humu,4
humus,5
humuspitoinen,13
hunaja,6
hunajainen,10
hunajankeltainen,16
hunajanmakea,12
hunajanvaalea,13
hunni,5
hunnuttaa,9
hunsvotti,9
huntti,6
huntu,5
huoahdella,10
huoahdus,8
huoahtaa,8
huoahtelu,9
huoata,6
huohottaa,9
huohotus,8
huoistaa,8
huoistua,8
huojahdella,11
huojahtaa,9
huojahtelu,10
huojennus,9
huojentaa,9
huojentua,9
huojeta,7
huojistaa,9
huojistua,9
huojua,6
huojunta,8
huojutella,10
huojuttaa,9
huokailla,9
huokailu,8
huokaista,9
huokaus,7
huokea,6
huokeus,7
huokoinen,9
huokoistaa,10
huokoistua,10
huokoisuus,10
huokonen,8
huoku,5
huokua,6
huolehdinta,11
huolehtia,9
huolehtivainen,14
huolehtivaisuus,15
huolekas,8
huolellinen,11
huolellisuus,12
huolenaihe,10
huolenpito,10
huolestua,9
huolestuneisuus,15
huolestus,9
huolestuttaa,12
huoleton,8
huolettaa,9
huolettomuus,12
huoli,5
huolia,6
huolimaton,10
huolimattomuus,14
huolinta,8
huolita,7
huolitella,10
huolitsija,10
huolittelu,10
huollattaa,10
huoltaa,7
huoltaja,8
huoltajuus,10
huoltamo,8
huolto,6
huoltojoukot,12
huoltola,8
huomaamaton,11
huomaamattomuus,15
huomaan,7
huomaavainen,12
huomaavaisuus,13
huomassa,8
huomata,7
huomattava,10
huomautella,11
huomauttaa,10
huomautus,9
huomen,6
huominen,8
huomio,6
huomioida,9
huomioija,9
huomiointi,10
huomioitsija,12
huomiokykyinen,14
huomionarvoinen,15
huomionosoitus,14
huomioonotto,12
huomiovalot,11
huomisaamu,10
huomisaamuinen,14
huomisilta,10
huomisiltainen,14
huone,5
huoneentaulu,12
huoneenvuokra,13
huoneisto,9
huoneistonhaltija,17
huoneke,7
huoneusto,9
huono,5
huonokasvuinen,14
huonokuuloisuus,15
huonomaineinen,14
huonommuudentunne,17
huonommuus,10
huonompiosainen,15
huonomuistinen,14
huonomuistisuus,15
huononnus,9
huonontaa,9
huonontua,9
huonopalkkainen,15
huonoryhtinen,13
huonota,7
huonotuloinen,13
huonotuottoinen,15
huonous,7
huonovointinen,14
huonovointisuus,15
huopa,5
huopainen,9
huopaus,7
huopauttaa,10
huopikas,8
huopua,6
huora,5
huorahtava,10
huorata,7
huorinteko,10
huoripukki,10
huoritella,10
huorittelu,10
huoruus,7
huostaan,8
huostassa,9
huostasta,9
huotra,6
huounta,7
huovata,7
huovi,5
huovikas,8
huovuttaa,9
huovutus,8
hupa,4
hupailu,7
hupainen,8
hupaisa,7
hupakko,7
hupi,4
huppari,7
huppeli,7
huppu,5
hupsahtaa,9
hupsia,6
hupsu,5
hupsutella,10
hupsuttelu,10
hupsutus,8
hupsuus,7
hupullinen,10
huputtaa,8
huputus,7
hurahdella,10
hurahdus,8
hurahtaa,8
huraus,6
hurauttaa,9
hurina,6
hurista,7
huristaa,8
huristella,10
hurja,5
hurjastelija,12
hurjastella,11
hurjastelu,10
hurjeta,7
hurjimus,8
hurjistaa,9
hurjistua,9
hurjistuttaa,12
hurjuus,7
hurlumhei,9
hurma,5
hurmaaja,8
hurmaantua,10
hurmaava,8
hurmata,7
hurmaus,7
hurmautua,9
hurme,5
hurmeinen,9
hurmio,6
hurmioitua,10
hurmos,6
hurmuri,7
hurraa,6
hurrata,7
hurri,5
hurrikaani,10
hurskas,7
hurskastelija,13
hurskastella,12
hurskastelu,11
hurskaus,8
hursti,6
hurtta,6
hurtti,6
hurvitella,10
hurvittelu,10
husaari,7
huseerata,9
hutaista,8
hutera,6
huti,4
hutikka,7
hutiloida,9
hutiloija,9
hutilointi,10
hutilus,7
hutkia,6
hutsu,5
huttu,5
hutu,4
hutunkeitto,11
huudahdella,11
huudahdus,9
huudahtaa,9
huudattaa,9
huudella,8
huuhaa,6
huuhde,6
huuhdella,9
huuhdonta,9
huuhkaja,8
huuhtaista,10
huuhtaisu,9
huuhtelu,8
huuhtoa,7
huuhtoja,8
huuhtouma,9
huuhtoutua,10
huuhtoutuma,11
huuhtoutumiskivikko,19
huuleilla,9
huuleilu,8
huulenheitto,12
huuli,5
huulikukkaiskasvi,17
huuliltalukeminen,17
huuliltaluku,12
huulio,6
huullos,7
huultaa,7
huuma,5
huumaannuttaa,13
huumaantua,10
huumata,7
huumaus,7
huumautua,9
huume,5
huumeeton,9
huumeilla,9
huumeilu,8
huumeinen,9
huumori,7
huumorintaju,12
huumorintajuinen,16
huuri,5
huurre,6
huurruttaa,10
huurtaa,7
huurteinen,10
huurtua,7
huuru,5
huuruinen,9
huuruta,7
huuruuntua,10
huushollata,11
huusholli,9
huusi,5
huussi,6
huutaa,6
huutaja,7
huutava,7
huutelu,7
huuti,5
huuto,5
huutokaupantoimittaja,21
huutolaispoika,14
huuva,5
huventaa,8
huveta,6
huvi,4
huvila,6
huvitella,9
huvittaa,8
huvittava,9
huvittavuus,11
huvittelu,9
huvittelunhalu,14
huvittelunhaluinen,18
huvittua,8
huvitus,7
hyasintti,9
hybridi,7
hybris,6
hydraatti,9
hydrauliikka,12
hydraulinen,11
hydraulineste,13
hydraulivasara,14
hydrobic,8
hydrobikki,10
hydrokopteri,12
hydrokortisoni,14
hydroksidi,10
hydroksyyli,11
hydrologia,10
hydrologinen,12
hydrospinning,13
hyeena,6
hygieenikko,11
hygieeninen,11
hygieenisyys,12
hygienia,8
hygrometri,10
hyinen,6
hykerrys,8
hylje,5
hylkeennahka,12
hylkeenpyynti,13
hylkimisreaktio,15
hylky,5
hylly,5
hyllyllinen,11
hylsy,5
hylsy,5
hymen,5
hymistely,9
hymistys,8
hymni,5
hymy,4
hymyily,7
hymynkare,9
hyntteet,8
hynttyyt,8
hype,4
hyperbeli,9
hyperbola,9
hyperbolinen,12
hyperemeesi,11
hyperglykemia,13
hypermarket,11
hypermarketti,13
hypermedia,10
hypermoderni,12
hypermuodikas,13
hyperteksti,11
hypertensio,11
hypertonia,10
hyperventilaatio,16
hypetys,7
hypistely,9
hypnologi,9
hypnoosi,8
hypnoottinen,12
hypnoterapeutti,15
hypnoterapia,12
hypnotisoida,12
hypnotisointi,13
hypnotisoitua,13
hypoglykemia,12
hypokondria,11
hypomaaninen,12
hypomania,9
hypotaksi,9
hypotaktinen,12
hypotalamus,11
hypoteekki,10
hypoteesi,9
hypoteettinen,13
hypotenuusa,11
hypotermia,10
hypoterminen,12
hyppely,7
hyppy,5
hyppyri,7
hyppysellinen,13
hyppyset,8
hyppyytys,9
hyrske,6
hyrsky,6
hyrskyinen,10
hyssyttely,10
hyssytys,8
hysteerikko,11
hysteerinen,11
hystereesi,10
hysteria,8
hytti,5
hyttynen,8
hyttysenpisto,13
hyttysenpurema,14
hyttyskarkote,13
hyttysparvi,11
hyttysverkko,12
hyttysvoide,11
hyve,4
hyveellinen,11
hyveellisyys,12
hyvike,6
hyvinvointi,11
hyvinvoipa,10
hyvinvoiva,10
hyvis,5
hyvite,6
hyvittely,9
hyvitys,7
hyvyys,6
hyyde,5
hyydyke,7
hyydyte,7
hyydytys,8
iankaikkinen,12
iankaikkisuus,13
iberoamerikkalainen,19
ibuprofeeni,11
icing,5
idea,4
ideaalisuus,11
idealismi,9
idealisoida,11
idealisti,9
idealistinen,12
idempi,6
identifikaatio,14
identifioida,12
identifiointi,13
identifioitua,13
identiteetti,12
identtinen,10
identtisyys,11
ideoida,7
ideointi,8
ideologi,8
ideologia,9
ideologinen,11
idiolekti,9
idiomaattinen,13
idiomi,6
idiootti,8
idioottimaisuus,15
idiopaattinen,13
idiopatia,9
idis,4
idoli,5
idunestoaine,12
idunviritys,11
idylli,6
idyllinen,9
ien,3
ies,3
iglu,4
ignoorata,9
ignoroida,9
igumeeni,8
igumenia,8
ihailija,8
ihailla,7
ihailtava,9
ihailu,6
ihana,5
ihanainen,9
ihanne,6
ihanneolot,10
ihannoida,9
ihannointi,10
ihanteellinen,13
ihanteellisuus,14
ihanuus,7
ihastella,9
ihastelu,8
ihastua,7
ihastus,7
ihastuttaa,10
ihastuttava,11
ihku,4
ihkuttaa,8
ihme,4
ihmeellinen,11
ihmeellisyys,12
ihmeparaneminen,15
ihmeparantaminen,16
ihmeparantuminen,16
ihmettely,9
ihmetys,7
ihminen,7
ihmisaivot,10
ihmisajatus,11
ihmisalkio,10
ihmisapina,10
ihmisarka,9
ihmisarkuus,11
ihmisarvo,9
ihmisarvoinen,13
ihmisasumus,11
ihmisasunto,11
ihmiselo,8
ihmisenmuotoinen,16
ihmishahmo,10
ihmishahmoinen,14
ihmishenki,10
ihmisinsuliini,14
ihmisjoukko,11
ihmiskasvoinen,14
ihmiskasvot,11
ihmiskauppa,11
ihmiskauppias,13
ihmiskeho,9
ihmiskeskeinen,14
ihmiskeskeisyys,15
ihmiskilpi,10
ihmiskirppu,11
ihmiskoe,8
ihmiskohtalo,12
ihmiskorva,10
ihmiskunta,10
ihmiskuva,9
ihmiskuvaaja,12
ihmiskuvaus,11
ihmislapsi,10
ihmisluonne,11
ihmisluonto,11
ihmismeri,9
ihmismieli,10
ihmismuuri,10
ihmisoikeus,11
ihmisolento,11
ihmisparka,10
ihmispelko,10
ihmispeto,9
ihmispoloinen,13
ihmisrakas,10
ihmisrakkaus,12
ihmisraukka,11
ihmisraunio,11
ihmisravinto,12
ihmisrotu,9
ihmisruumis,11
ihmissielu,10
ihmissuhde,10
ihmissuku,9
ihmissusi,9
ihmistaimi,10
ihmistavat,10
ihmistiede,10
ihmistungos,11
ihmistuntemus,13
ihmistuntija,12
ihmistyyppi,11
ihmisuhri,9
ihmisviha,9
ihmisvihaaja,12
ihmisvirta,10
ihmisvoima,10
ihmisyys,8
iho,3
ihokas,6
ihonalainen,11
ihonalaiskudos,14
ihonhoito,9
ihonkuorinta,12
ihonpuhdistus,13
ihonsiirto,10
ihottuma,8
ihra,4
ihramahainen,12
iibis,5
iikka,5
iilimato,8
iiri,4
iiris,5
iisi,4
iisoppi,7
iivana,6
ikebana,7
ikenet,6
ikiaika,7
ikiaikainen,11
ikihonka,8
ikikukka,8
ikiliikkuja,11
ikimerkki,9
ikimuistettava,14
ikimuistoinen,13
ikinaisellinen,14
ikinen,6
ikinuori,8
ikioma,6
ikionnellinen,13
ikirauha,8
ikirouta,8
ikisuosikki,11
ikiuni,6
ikivanha,8
ikivihanta,10
ikkuna,6
ikkunallinen,12
ikkunanhaka,11
ikkunankarmi,12
ikkunankehys,12
ikkunankuivain,14
ikkunanpesin,12
ikkunanpesu,11
ikkunanpieli,12
ikkunanpuite,12
ikkunanrako,11
ikkunantiiviste,15
ikkunoida,9
ikkunointi,10
ikoni,5
ikoninen,8
ikonisuus,9
ikonostaasi,11
iktyologi,9
iktyologia,10
iktyonomi,9
ikuinen,7
ikuistaa,8
ikuisuus,8
ilahduttaa,10
ilahtua,7
ilakoida,8
ilakointi,9
iljanko,7
iljankoinen,11
iljanne,7
iljanteinen,11
iljetys,7
ilkamoida,9
ilkamointi,10
ilkeily,7
ilkeys,6
ilkialaston,11
ilkikurinen,11
ilkikurisuus,12
ilkimys,7
ilkivalta,9
ilkivaltainen,13
ilkivaltaisuus,14
ilkkua,6
illakko,7
illallinen,10
illalliset,10
illalliskortti,14
illalliskutsu,13
illallistanssiaiset,19
illallisvieras,14
illanistujaiset,15
illansuu,8
illantorkku,11
illanvietto,11
illanvirkku,11
illastaa,8
illatiivi,9
illatsut,8
illusorinen,11
illustraatio,12
illustroida,11
illuusio,8
illuusioton,11
illuusiottomuus,15
ilma,4
ilmaannousu,11
ilmaantua,9
ilmaantuvuus,12
ilmailla,8
ilmailu,7
ilmainen,8
ilmaisanti,10
ilmaisetu,9
ilmaishoito,11
ilmaisija,9
ilmaisin,8
ilmaisjakelu,12
ilmaiskappale,13
ilmaislehti,11
ilmaisohjelma,13
ilmaispalvelu,13
ilmaista,8
ilmaisu,7
ilmaisukykyinen,15
ilmaisullinen,13
ilman,5
ilmapakoinen,12
ilmastaa,8
ilmaste,7
ilmastin,8
ilmasto,7
ilmastoida,10
ilmastointi,11
ilmastollinen,13
ilmastonmuutos,14
ilmastonsuojelu,15
ilmastonvaihdos,15
ilmastua,8
ilmastus,8
ilmata,6
ilmaton,7
ilmatorjuntajoukot,18
ilmaus,6
ilmaus,6
ilmava,6
ilmavaivat,10
ilmavoimat,10
ilmavuus,8
ilme,4
ilmeikkyys,10
ilmeily,7
ilmeinen,8
ilmeinen,8
ilmenemismuoto,14
ilmennys,8
ilmestymisaika,14
ilmestymisvuosi,15
ilmestys,8
ilmetty,7
ilmi,4
ilmoinen,8
ilmoitella,10
ilmoittaa,9
ilmoittaja,10
ilmoittautua,12
ilmoittautumisaika,18
ilmoittautumislomake,20
ilmoittelu,10
ilmoittua,9
ilmoitus,8
ilmoitustulot,13
ilo,3
iloinen,7
iloisuus,8
iloita,6
iloitella,9
ilomielinen,11
ilonaihe,8
ilonkyynel,10
ilonpilaaja,11
ilonpito,8
ilonpurkaus,11
ilostua,7
ilostuttaa,10
ilotella,8
iloton,6
ilottelu,8
ilottomuus,10
ilta,4
iltainen,8
iltakutsut,10
iltama,6
iltanen,7
iltapukuinen,12
iltauutiset,11
iltti,5
ilve,4
ilveily,7
ilves,5
imaami,6
image,5
imaginaariluku,14
imaginaarinen,13
imago,5
imagonrakennus,14
imagonrakentaja,15
imaista,7
imaisu,6
imarre,6
imarrella,9
imartelu,8
imbesilli,9
imelle,6
imellys,7
imelyys,7
imemisheijaste,14
imemisrefleksi,14
imeskelytabletti,16
imetys,6
imetysliivit,12
imeytys,7
imitaatio,9
imitaattori,11
imitoida,8
imitoija,8
imitointi,9
immateriaalinen,15
immateriaalioikeus,18
immeinen,8
immenkalvo,10
immenkukka,10
immobilisaatio,14
immobilisoida,13
immobilisointi,14
immunisaatio,12
immunisoida,11
immunisointi,12
immunisoitua,12
immuniteetti,12
immunologia,11
immunologinen,13
immuuni,7
immuunistaa,11
immuunistua,11
immuunius,9
immyt,5
impata,6
impedanssi,10
imperatiivi,11
imperfekti,10
imperialismi,12
imperialisti,12
imperialistinen,15
imperiumi,9
impi,4
impivaaralaisuus,16
implantaatio,12
implantaatti,12
implantoida,11
implantti,9
implementaatio,14
implementoida,13
implikoida,10
implisiittinen,14
implisiittisyys,15
implisoida,10
imponoida,9
impotenssi,10
impotentti,10
imppaus,7
impregnoida,11
impregnointi,12
impressaari,11
impressaario,12
impressionismi,14
impressionisti,14
impressionistinen,17
impro,5
improbatur,10
impromptu,9
improta,7
improvisaatio,13
improvisatorinen,16
improvisoida,12
improvisointi,13
impulsiivinen,13
impulsiivisuus,14
impulssi,8
imu,3
imuke,5
imukykyinen,11
imuri,5
imuroida,8
imurointi,9
imusuonentulehdus,17
inahdus,7
inahtaa,7
inarinsaame,11
inaus,5
indefiniittinen,15
indefiniittipronomini,21
indeksi,7
indeksoida,10
indeksointi,11
indifferenssi,13
indifferentti,13
indigo,6
indigonsininen,14
indiisi,7
indikaatio,10
indikaattori,12
indikatiivi,11
indikoida,9
indisio,7
indisoida,9
indium,6
individi,8
individuaalinen,15
individuaalipsykologia,22
individuaalistaa,16
individualismi,14
individualisoida,16
individualisti,14
individualistinen,17
indoeurooppalainen,18
indogermaaninen,15
indoiranilainen,15
indoktrinaatio,14
indoktrinoida,13
indoktrinointi,14
induktanssi,11
induktiivinen,13
induktio,8
indusoida,9
indusoitua,10
industrialismi,14
industrialistinen,17
inertia,7
inertti,7
inessiivi,9
infantiili,10
infantiilius,12
infantilismi,12
infarkti,8
infektio,8
infektoida,10
infektoitua,11
infernaalinen,13
infertiili,10
infinitiivi,11
inflaatio,9
inflatorinen,12
influenssa,10
influensseri,12
info,4
infokratia,10
informaatikko,13
informaatio,11
informalismi,12
informalisti,12
informalistinen,15
informantti,11
informatiikka,13
informatiivinen,15
informatorinen,14
informoida,10
informointi,11
infota,6
infra,5
infuusio,8
ingressi,8
inha,4
inhalaatio,10
inhalaattori,12
inhaloida,9
inhalointi,10
inhibiittori,12
inhibitio,9
inhibitorinen,13
inhiboida,9
inhiboitua,10
inhimillinen,12
inhimillisyys,13
inho,4
inhokki,7
inhota,6
inhottaa,8
inhottava,9
inhottavuus,11
inhotus,7
initiaatio,10
initiaatiomenot,15
injektio,8
injektoida,10
injisoida,9
inka,4
inkarnaatio,11
inkarnoitua,11
inkerikko,9
inkerinsuomalainen,18
inkeroinen,10
inkkari,7
inklusiivinen,13
inklusiivisuus,14
inkluusio,9
inkongruenssi,13
inkontinenssi,13
inkubaatioaika,14
inkubaattori,12
inkunaabeli,11
inkvisiittori,13
inkvisitio,10
innoite,7
innoittaa,9
innoittaja,10
innoittua,9
innoitus,8
innokas,7
innokkuus,9
innostaa,8
innostaja,9
innostua,8
innostuneisuus,14
innostunut,10
innostus,8
innostuttaa,11
innota,6
innoton,7
innottomuus,11
innovaatio,10
innovatiivinen,14
innovatiivisuus,15
innovoida,9
innovointi,10
input,5
insatsi,7
inseminaatio,12
insertti,8
insesti,7
insidenssi,10
inspehtori,10
inspiraatio,11
inspiroida,10
inspiroitua,11
inssi,5
installaatio,12
installoida,11
installointi,12
instanssi,9
institutionaalinen,18
institutionaalistua,19
institutionalisoitua,20
instituutio,11
instituutti,11
instruktiivi,12
instrumentaali,14
instrumentaalinen,17
instrumentaatio,15
instrumentalisti,16
instrumentoida,14
instrumentointi,15
instrumentti,12
insuffisienssi,14
insuliini,9
insuliinihoitoinen,18
intarsia,8
integraali,10
integraatio,11
integriteetti,13
integroida,10
integrointi,11
integroitua,11
intellektuaalinen,17
intellektualismi,16
intellektualisti,16
intellektualistinen,19
intellektuelli,14
intelligenssi,13
intelligentsija,15
intelligentti,13
intendentti,11
intendentuuri,13
intensiivikurssi,16
intensiivinen,13
intensiiviopetus,16
intensiivisyys,14
intensiteetti,13
intentio,8
interaktiivinen,15
interaktiivisuus,16
interferenssi,13
interferoni,11
interjektio,11
intermezzo,10
intermittoiva,13
internaatti,11
internationaali,15
internationalismi,17
internet,8
internoida,10
internointi,11
interrailaaja,13
interrailata,12
interrailkortti,15
interreilaaja,13
interreilata,12
interrogatiivinen,17
interrogatiivipronomini,23
interseksuaalisuus,18
intersektionaalinen,19
intersukupuolinen,17
intersukupuolisuus,18
intertekstuaalinen,18
intertekstuaalisuus,19
intervalli,10
interventio,11
intiaani,8
intialainen,11
intiankobra,11
intianpuuvilla,14
intifada,8
intiimi,7
intiimiys,9
intimiteetti,12
into,4
intohimoinen,12
intohimoisuus,13
intohimoton,11
intohimottomuus,15
intoilija,9
intoilla,8
intoilu,7
intoleranssi,12
intomielinen,12
intonaatio,10
intos,5
intoutua,8
intranet,8
intransitiivinen,16
intransitiiviverbi,18
intresantti,11
intressi,8
intrigi,7
intrigoida,10
intrigointi,11
intro,5
introduktio,11
introspektio,12
introvertti,11
intti,5
intuitiivinen,13
intuitiivisuus,14
intuitio,8
inuiitti,8
inuitti,7
invaasio,8
invalidi,8
invalidisoitua,14
invaliditeetti,14
invalidius,10
invalidoida,11
invalidoitua,12
invarianssi,11
invariantti,11
invataksi,9
inventaari,10
inventaario,11
inventoida,10
inventointi,11
invertteri,10
inverttisokeri,14
investoida,10
investoija,10
investointi,11
ioni,4
ionisaatio,10
ionisaattori,12
ionisoitua,10
ipana,5
iridium,7
iridologia,10
irkata,6
irkkailla,9
irkkailu,8
irkkaus,7
irkki,5
irkku,5
irlanninsetteri,15
irlanninsusikoira,17
irlanninterrieri,16
irlantilainen,13
irokeesi,8
ironia,6
ironikko,8
ironinen,8
ironisoida,10
ironisuus,9
irrallinen,10
irrallisuus,11
irrationaali,12
irrationaalinen,15
irrationaalisuus,16
irreaalinen,11
irreaalisuus,12
irrelevantti,12
irrokepaperi,12
irrota,6
irrotella,9
irrottaa,8
irrottautua,11
irrottelu,9
irrottua,8
irrotus,7
irstailija,10
irstailla,9
irstailu,8
irstainen,9
irstas,6
irstaus,7
irtaantua,9
irtaimisto,10
irtain,6
irtauma,7
irtautua,8
irtautuma,9
irtautumisnopeus,16
irtiotto,8
irtisanoa,9
irtisanominen,13
irtisanomisaika,15
irtisanomisoikeus,17
irtisanomissuoja,16
irtisanoutua,12
irtisanoutuminen,16
irtohiha,8
irtohiukset,11
irtohousut,10
irtohuppu,9
irtokaramelli,13
irtokarkki,10
irtokaulus,10
irtokiekko,10
irtokuutiometri,15
irtolainen,10
irtolasti,9
irtolehti,9
irtoletti,9
irtoliite,9
irtolika,8
irtolohkare,11
irtolukko,9
irtolumi,8
irtomaa,7
irtomakeinen,12
irtomyynti,10
irtonainen,10
irtonaisuus,11
irtonumero,10
irtopallo,9
irtopalmikko,12
irtoparta,9
irtopinna,9
irtopiste,9
irtopohjavuoka,14
irtopuutavara,13
irtopuuteri,11
irtoripset,10
irtoseksi,9
irtosolututkimus,16
irtosuhde,9
irtotakki,9
irtotavara,10
irtotiheys,10
irtotilavuus,12
irtotukka,9
irtouitto,9
irtovuori,9
irtovuoro,9
irvailla,8
irvailu,7
irvihammas,10
irvikuva,8
irvileuka,9
irvileukainen,13
irvistely,9
irvistys,8
irvokas,7
irvokkuus,9
isi,3
iskevyys,8
iskias,6
iskos,5
iskostua,8
isku,4
iskukykyinen,12
iskullinen,10
iskunpituus,11
iskunvaimennin,14
iskuri,6
iskuttaa,8
islam,5
islamilainen,12
islamilaisuus,13
islaminusko,11
islaminuskoinen,15
islamisti,9
islamistinen,12
islanninhevonen,15
islanninkielinen,16
islanti,7
ismi,4
iso,3
iso,3
isoinen,7
isokasvuinen,12
isolaatio,9
isoleukainen,12
isoloida,8
isolointi,9
isoloitua,9
isomahainen,11
isomeeri,8
isomeria,8
isomorfia,9
isonen,6
isontaa,7
isontua,7
isosuinen,9
isota,5
isota,5
isotaivot,9
isotella,8
isotooppi,9
isottelu,8
isous,5
isovanhemmat,12
israelilainen,13
issikka,7
issikka,7
istahtaa,8
istua,5
istuin,6
istujaiset,10
istukallinen,12
istukas,7
istukka,7
istuksia,8
istuma,6
istunta,7
istunto,7
istuskella,10
istuskelu,9
istute,6
istuttaa,8
istutus,7
istuutua,8
istuvuus,8
isukki,6
isvossikka,10
isyys,5
italia,6
italiaano,9
italiankielinen,15
italiankumina,13
italiansalaatti,15
italianvinttikoira,18
italowestern,12
itara,5
itaruus,7
iteraatio,9
iteratiivinen,13
iteroida,8
iterointi,9
itikka,6
itkeskely,9
itkettynyt,10
itku,4
itkuinen,8
itkunpuuska,11
itkunsekainen,13
itsari,6
itse,4
itseisarvo,10
itsekantava,11
itsekiillottuva,15
itsekkyys,9
itsekriminointisuoja,20
itseliimautuva,14
itsellinen,10
itseneuvova,11
itseohjaava,11
itseohjautuva,13
itsepintainen,13
itsepintaisuus,14
itseriittoinen,14
itseruoskinta,13
itseruskettava,14
itsesiittoinen,14
itsesyntyinen,13
itsesyttyminen,14
itsetuhoinen,12
itsetypistys,12
itsevalaiseva,13
itsevoiteleva,13
itseys,6
itu,3
iva,3
ivailla,7
ivailu,6
ivallinen,9
ivata,5
jaakobinpaini,13
jaakopinpaini,13
jaala,5
jaanata,7
jaardi,6
jaaritella,10
jaarittelu,10
jaaritus,8
jaarli,6
jacquard,8
jade,4
jae,3
jaella,6
jaettava,8
jaguaari,8
jahdata,7
jahka,5
jahkailla,9
jahkailu,8
jahkata,7
jahnata,7
jahti,5
jahti,5
jakaa,5
jakaantua,9
jakaja,6
jakamaton,9
jakamistalous,13
jakamo,6
jakaranda,9
jakardi,7
jakauma,7
jakaus,6
jakautua,8
jakautuma,9
jakelija,8
jakelin,7
jakelu,6
jakelukustannukset,18
jakitori,8
jakkara,7
jakki,5
jakki,5
jakku,5
jakkupukuinen,13
jako,4
jakobiini,9
jakomielinen,12
jakopuitteet,12
jaksaa,6
jaksella,8
jakso,5
jaksoittainen,13
jaksoittaisopetus,17
jaksoittaisopiskelu,19
jaksoittaisuus,14
jaksollinen,11
jaksollisuus,12
jaksonaika,10
jaksotella,10
jaksottaa,9
jaksottua,9
jaksotus,8
jakuutti,8
jalake,6
jalallinen,10
jalankulkija,12
jalankulku,10
jalannousu,10
jalanrinta,10
jalansija,9
jalantie,8
jalapeno,8
jalas,5
jalava,6
jalka,5
jalkapatikka,12
jalkaraudat,11
jalkauttaa,10
jalkautua,9
jalkava,7
jalkavuus,9
jalkine,7
jalkio,6
jalkojenhoitaja,15
jalkojenhoito,13
jallittaa,9
jallitus,8
jalo,4
jaloitella,10
jaloittelu,10
jalokivihioja,13
jalomielinen,12
jalonnus,8
jalontaa,8
jalopeno,8
jalopiirteinen,14
jalostaa,8
jalostamo,9
jaloste,7
jalostua,8
jalostus,8
jalosukuisuus,13
jalus,5
jalusta,7
jalustin,8
jambalaija,10
jambalaya,9
jambi,5
